year,month,day,predicted temperature(C)
2021,1,1,30.03134412012881
2021,1,2,30.03134412012881
2021,1,3,29.931344120128813
2021,1,4,29.881344120128812
2021,1,5,29.83134412012881
2021,1,6,29.870931487443688
2021,1,7,29.790725171101123
2021,1,8,29.710518854758565
2021,1,9,29.710518854758565
2021,1,10,29.75010622207344
2021,1,11,29.789693589388317
2021,1,12,29.789693589388317
2021,1,13,29.889693589388315
2021,1,14,29.889693589388315
2021,1,15,29.939693589388316
2021,1,16,29.95010622207344
2021,1,17,29.95010622207344
2021,1,18,30.030312538416002
2021,1,19,30.010518854758566
2021,1,20,30.110518854758563
2021,1,21,30.17093148744369
2021,1,22,30.17093148744369
2021,1,23,30.23134412012881
2021,1,24,30.19175675281393
2021,1,25,30.19175675281393
2021,1,26,30.152169385499054
2021,1,27,30.152169385499054
2021,1,28,30.152169385499054
2021,1,29,30.152169385499054
2021,1,30,30.152169385499054
2021,1,31,30.152169385499054
2021,2,1,30.152169385499054
2021,2,2,30.252169385499055
2021,2,3,30.252169385499055
2021,2,4,30.352169385499057
2021,2,5,30.31258201818418
2021,2,6,30.412582018184178
2021,2,7,30.472994650869303
2021,2,8,30.622994650869302
2021,2,9,30.633407283554426
2021,2,10,30.79381991623955
2021,2,11,30.834438865267234
2021,2,12,30.964645181609797
2021,2,13,30.93547044698004
2021,2,14,30.995883079665166
2021,2,15,30.936502028692853
2021,2,16,31.01670834503541
2021,2,17,31.077120977720536
2021,2,18,31.177120977720534
2021,2,19,31.23753361040566
2021,2,20,31.24794624309078
2021,2,21,31.35835887577591
2021,2,22,31.368771508461027
2021,2,23,31.398977824803588
2021,2,24,31.33959677383127
2021,2,25,31.46980309017384
2021,2,26,31.500009406516398
2021,2,27,31.500009406516398
2021,2,28,31.540628355544083
2021,3,1,31.720834671886642
2021,3,2,31.720834671886642
2021,3,3,31.781247304571764
2021,3,4,31.802072569942016
2021,3,5,31.902072569942018
2021,3,6,31.96248520262714
2021,3,7,32.072897835312254
2021,3,8,32.13331046799738
2021,3,9,32.14372310068251
2021,3,10,32.084342049710195
2021,3,11,32.044754682395315
2021,3,12,32.124960998737876
2021,3,13,32.124960998737876
2021,3,14,32.22496099873788
2021,3,15,32.285373631423
2021,3,16,32.335373631422996
2021,3,17,32.44578626410812
2021,3,18,32.60619889679325
2021,3,19,32.736405213135804
2021,3,20,32.87702416216349
2021,3,21,32.94784942753374
2021,3,22,33.08846837656142
2021,3,23,33.15929364193167
2021,3,24,33.34991259095935
2021,3,25,33.3707378563296
2021,3,26,33.311356805357285
2021,3,27,33.21238838707009
2021,3,28,33.17280101975522
2021,3,29,33.17280101975522
2021,3,30,33.17280101975522
2021,3,31,33.17280101975522
2021,4,1,33.17280101975522
2021,4,2,33.17280101975522
2021,4,3,33.17280101975522
2021,4,4,33.17280101975522
2021,4,5,33.17280101975522
2021,4,6,33.17280101975522
2021,4,7,33.07280101975522
2021,4,8,32.92280101975523
2021,4,9,32.87280101975522
2021,4,10,32.912388387070095
2021,4,11,32.9217694380424
2021,4,12,32.891563121699846
2021,4,13,32.891563121699846
2021,4,14,32.911356805357286
2021,4,15,32.931150489014726
2021,4,16,32.931150489014726
2021,4,17,32.931150489014726
2021,4,18,32.931150489014726
2021,4,19,32.931150489014726
2021,4,20,32.931150489014726
2021,4,21,32.931150489014726
2021,4,22,32.931150489014726
2021,4,23,32.931150489014726
2021,4,24,32.78115048901472
2021,4,25,32.73115048901472
2021,4,26,32.73115048901472
2021,4,27,32.74053153998704
2021,4,28,32.71032522364448
2021,4,29,32.61032522364448
2021,4,30,32.43011890730192
2021,5,1,32.44991259095935
2021,5,2,32.48949995827423
2021,5,3,32.46867469290398
2021,5,4,32.56867469290398
2021,5,5,32.46867469290398
2021,5,6,32.50826206021886
2021,5,7,32.51867469290398
2021,5,8,32.50826206021886
2021,5,9,32.50826206021886
2021,5,10,32.48846837656142
2021,5,11,32.60826206021886
2021,5,12,32.708262060218864
2021,5,13,32.708262060218864
2021,5,14,32.56867469290398
2021,5,15,32.52908732558911
2021,5,16,32.52908732558911
2021,5,17,32.56867469290398
2021,5,18,32.56867469290398
2021,5,19,32.56867469290398
2021,5,20,32.668674692903984
2021,5,21,32.56867469290398
2021,5,22,32.56867469290398
2021,5,23,32.52908732558911
2021,5,24,32.56867469290398
2021,5,25,32.56867469290398
2021,5,26,32.56867469290398
2021,5,27,32.56867469290398
2021,5,28,32.56867469290398
2021,5,29,32.56867469290398
2021,5,30,32.56867469290398
2021,5,31,32.56867469290398
2021,6,1,32.56867469290398
2021,6,2,32.668674692903984
2021,6,3,32.768674692903986
2021,6,4,32.768674692903986
2021,6,5,32.72908732558911
2021,6,6,32.68949995827423
2021,6,7,32.68949995827423
2021,6,8,32.58949995827423
2021,6,9,32.48949995827423
2021,6,10,32.48949995827423
2021,6,11,32.52908732558911
2021,6,12,32.56867469290398
2021,6,13,32.56867469290398
2021,6,14,32.56867469290398
2021,6,15,32.56867469290398
2021,6,16,32.56867469290398
2021,6,17,32.61867469290399
2021,6,18,32.668674692903984
2021,6,19,32.768674692903986
2021,6,20,32.748881009246546
2021,6,21,32.72908732558911
2021,6,22,32.68949995827423
2021,6,23,32.68949995827423
2021,6,24,32.789499958274234
2021,6,25,32.88949995827423
2021,6,26,32.88949995827423
2021,6,27,32.94991259095935
2021,6,28,32.96032522364448
2021,6,29,32.91032522364448
2021,6,30,32.9207378563296
2021,7,1,32.95094417267216
2021,7,2,32.9707378563296
2021,7,3,33.05094417267216
2021,7,4,32.98115048901472
2021,7,5,32.98115048901472
2021,7,6,32.891563121699846
2021,7,7,32.911356805357286
2021,7,8,32.96135680535728
2021,7,9,33.03115048901473
2021,7,10,33.03115048901473
2021,7,11,33.01135680535729
2021,7,12,32.891563121699846
2021,7,13,32.791563121699845
2021,7,14,32.791563121699845
2021,7,15,32.831150489014725
2021,7,16,32.9207378563296
2021,7,17,32.9707378563296
2021,7,18,32.8707378563296
2021,7,19,32.85094417267216
2021,7,20,32.831150489014725
2021,7,21,32.8707378563296
2021,7,22,32.8707378563296
2021,7,23,32.9707378563296
2021,7,24,32.9707378563296
2021,7,25,32.9707378563296
2021,7,26,32.931150489014726
2021,7,27,32.931150489014726
2021,7,28,32.931150489014726
2021,7,29,32.931150489014726
2021,7,30,32.931150489014726
2021,7,31,32.931150489014726
2021,8,1,32.931150489014726
2021,8,2,32.931150489014726
2021,8,3,32.931150489014726
2021,8,4,33.03115048901473
2021,8,5,33.13115048901473
2021,8,6,33.13115048901473
2021,8,7,33.09156312169985
2021,8,8,33.05197575438497
2021,8,9,33.05197575438497
2021,8,10,33.05197575438497
2021,8,11,33.05197575438497
2021,8,12,33.05197575438497
